path,class
dataset/ImageDataset/crime/Stealing044_x26498.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_924_x2642247.0.jpg,normal
dataset/ImageDataset/crime/Stealing006_x26495.0.jpg,crime
dataset/ImageDataset/crime/Stealing031_x26421.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_360_x26425.0.jpg,normal
dataset/ImageDataset/crime/Stealing045_x264180.0.jpg,crime
dataset/ImageDataset/crime/Stealing045_x26418.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_924_x2641436.0.jpg,normal
dataset/ImageDataset/crime/Burglary079_x264425.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_247_x26499.0.jpg,normal
dataset/ImageDataset/crime/Stealing013_x26418.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_924_x2641141.0.jpg,normal
dataset/ImageDataset/crime/Stealing023_x26495.0.jpg,crime
dataset/ImageDataset/crime/Burglary095_x264693.0.jpg,crime
dataset/ImageDataset/crime/Stealing030_x2649.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_927_x26412.0.jpg,normal
dataset/ImageDataset/crime/Stealing028_x26436.0.jpg,crime
dataset/ImageDataset/crime/Burglary088_x264104.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_887_x264139.0.jpg,normal
dataset/ImageDataset/crime/Stealing058_x264130.0.jpg,crime
dataset/ImageDataset/crime/Stealing078_x26443.0.jpg,crime
dataset/ImageDataset/crime/Stealing053_x264383.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_924_x2643553.0.jpg,normal
dataset/ImageDataset/crime/Burglary064_x264572.0.jpg,crime
dataset/ImageDataset/crime/Burglary065_x264285.0.jpg,crime
dataset/ImageDataset/crime/Burglary072_x26434.0.jpg,crime
dataset/ImageDataset/crime/Stealing052_x264109.0.jpg,crime
dataset/ImageDataset/crime/Burglary064_x2641021.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_924_x2643306.0.jpg,normal
dataset/ImageDataset/normal/Normal_Videos_175_x264257.0.jpg,normal
dataset/ImageDataset/crime/Burglary057_x2643.0.jpg,crime
dataset/ImageDataset/crime/Burglary065_x26468.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_924_x2642953.0.jpg,normal
dataset/ImageDataset/normal/Normal_Videos_924_x2641348.0.jpg,normal
dataset/ImageDataset/normal/Normal_Videos_935_x2643360.0.jpg,normal
dataset/ImageDataset/normal/Normal_Videos_576_x2643.0.jpg,normal
dataset/ImageDataset/normal/Normal_Videos_880_x264348.0.jpg,normal
dataset/ImageDataset/crime/Stealing053_x264238.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_866_x26412.0.jpg,normal
dataset/ImageDataset/crime/Burglary071_x26435.0.jpg,crime
dataset/ImageDataset/crime/Stealing086_x264296.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_880_x264441.0.jpg,normal
dataset/ImageDataset/crime/Burglary055_x2643.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_924_x264479.0.jpg,normal
dataset/ImageDataset/crime/Burglary052_x26491.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_944_x264217.0.jpg,normal
dataset/ImageDataset/normal/Normal_Videos_940_x26454.0.jpg,normal
dataset/ImageDataset/crime/Burglary064_x2641189.0.jpg,crime
dataset/ImageDataset/normal/Normal_Videos_924_x264101.0.jpg,normal
dataset/ImageDataset/normal/Normal_Videos_869_x26417.0.jpg,normal
dataset/ImageDataset/normal/Normal_Videos_210_x264106.0.jpg,normal
dataset/ImageDataset/normal/Normal_Videos_941_x2644.0.jpg,normal
dataset/ImageDataset/normal/Normal_Videos_247_x264206.0.jpg,normal
dataset/ImageDataset/crime/Burglary057_x26440.0.jpg,crime
dataset/ImageDataset/crime/Stealing059_x26418.0.jpg,crime
