videos,true labels,predicted labels
Burglary082_x264_fr1.jpg,1,0
Burglary083_x264_fr1.jpg,1,1
Burglary083_x264_fr2.jpg,1,1
Burglary084_x264_fr1.jpg,1,1
Burglary084_x264_fr10.jpg,1,1
Burglary084_x264_fr11.jpg,1,1
Burglary084_x264_fr12.jpg,1,1
Burglary084_x264_fr13.jpg,1,1
Burglary084_x264_fr2.jpg,1,1
Burglary084_x264_fr3.jpg,1,1
Burglary084_x264_fr4.jpg,1,1
Burglary084_x264_fr5.jpg,1,1
Burglary084_x264_fr6.jpg,1,1
Burglary084_x264_fr7.jpg,1,1
Burglary084_x264_fr8.jpg,1,1
Burglary084_x264_fr9.jpg,1,1
Burglary085_x264_fr1.jpg,1,0
Burglary085_x264_fr10.jpg,1,0
Burglary085_x264_fr11.jpg,1,0
Burglary085_x264_fr12.jpg,1,0
Burglary085_x264_fr13.jpg,1,0
Burglary085_x264_fr14.jpg,1,0
Burglary085_x264_fr15.jpg,1,0
Burglary085_x264_fr16.jpg,1,0
Burglary085_x264_fr17.jpg,1,0
Burglary085_x264_fr18.jpg,1,0
Burglary085_x264_fr19.jpg,1,1
Burglary085_x264_fr2.jpg,1,0
Burglary085_x264_fr20.jpg,1,1
Burglary085_x264_fr21.jpg,1,0
Burglary085_x264_fr22.jpg,1,0
Burglary085_x264_fr23.jpg,1,1
Burglary085_x264_fr24.jpg,1,0
Burglary085_x264_fr25.jpg,1,0
Burglary085_x264_fr26.jpg,1,0
Burglary085_x264_fr27.jpg,1,0
Burglary085_x264_fr28.jpg,1,0
Burglary085_x264_fr29.jpg,1,0
Burglary085_x264_fr3.jpg,1,0
Burglary085_x264_fr30.jpg,1,0
Burglary085_x264_fr31.jpg,1,1
Burglary085_x264_fr32.jpg,1,0
Burglary085_x264_fr33.jpg,1,0
Burglary085_x264_fr34.jpg,1,0
Burglary085_x264_fr35.jpg,1,0
Burglary085_x264_fr4.jpg,1,0
Burglary085_x264_fr5.jpg,1,0
Burglary085_x264_fr6.jpg,1,0
Burglary085_x264_fr7.jpg,1,0
Burglary085_x264_fr8.jpg,1,0
Burglary085_x264_fr9.jpg,1,0
Burglary086_x264_fr1.jpg,1,1
Burglary086_x264_fr2.jpg,1,1
Burglary087_x264_fr1.jpg,1,1
Burglary087_x264_fr10.jpg,1,1
Burglary087_x264_fr11.jpg,1,0
Burglary087_x264_fr12.jpg,1,1
Burglary087_x264_fr13.jpg,1,1
Burglary087_x264_fr14.jpg,1,1
Burglary087_x264_fr15.jpg,1,1
Burglary087_x264_fr16.jpg,1,1
Burglary087_x264_fr17.jpg,1,1
Burglary087_x264_fr18.jpg,1,1
Burglary087_x264_fr19.jpg,1,1
Burglary087_x264_fr2.jpg,1,1
Burglary087_x264_fr20.jpg,1,1
Burglary087_x264_fr21.jpg,1,1
Burglary087_x264_fr22.jpg,1,1
Burglary087_x264_fr3.jpg,1,1
Burglary087_x264_fr4.jpg,1,1
Burglary087_x264_fr5.jpg,1,1
Burglary087_x264_fr6.jpg,1,1
Burglary087_x264_fr7.jpg,1,1
Burglary087_x264_fr8.jpg,1,1
Burglary087_x264_fr9.jpg,1,1
Burglary088_x264_fr1.jpg,1,1
Burglary088_x264_fr2.jpg,1,1
Burglary088_x264_fr3.jpg,1,1
Burglary088_x264_fr4.jpg,1,1
Burglary088_x264_fr5.jpg,1,1
Burglary088_x264_fr6.jpg,1,1
Burglary089_x264_fr1.jpg,1,1
Burglary089_x264_fr10.jpg,1,1
Burglary089_x264_fr11.jpg,1,1
Burglary089_x264_fr12.jpg,1,1
Burglary089_x264_fr13.jpg,1,1
Burglary089_x264_fr14.jpg,1,1
Burglary089_x264_fr15.jpg,1,1
Burglary089_x264_fr16.jpg,1,1
Burglary089_x264_fr17.jpg,1,1
Burglary089_x264_fr18.jpg,1,1
Burglary089_x264_fr19.jpg,1,1
Burglary089_x264_fr2.jpg,1,1
Burglary089_x264_fr20.jpg,1,1
Burglary089_x264_fr21.jpg,1,1
Burglary089_x264_fr22.jpg,1,1
Burglary089_x264_fr23.jpg,1,1
Burglary089_x264_fr24.jpg,1,1
Burglary089_x264_fr25.jpg,1,1
Burglary089_x264_fr26.jpg,1,1
Burglary089_x264_fr27.jpg,1,1
Burglary089_x264_fr28.jpg,1,1
Burglary089_x264_fr29.jpg,1,1
Burglary089_x264_fr3.jpg,1,1
Burglary089_x264_fr30.jpg,1,1
Burglary089_x264_fr31.jpg,1,1
Burglary089_x264_fr32.jpg,1,1
Burglary089_x264_fr33.jpg,1,1
Burglary089_x264_fr34.jpg,1,1
Burglary089_x264_fr35.jpg,1,1
Burglary089_x264_fr36.jpg,1,1
Burglary089_x264_fr37.jpg,1,1
Burglary089_x264_fr38.jpg,1,1
Burglary089_x264_fr39.jpg,1,1
Burglary089_x264_fr4.jpg,1,1
Burglary089_x264_fr40.jpg,1,1
Burglary089_x264_fr41.jpg,1,1
Burglary089_x264_fr42.jpg,1,1
Burglary089_x264_fr43.jpg,1,1
Burglary089_x264_fr44.jpg,1,1
Burglary089_x264_fr45.jpg,1,1
Burglary089_x264_fr46.jpg,1,1
Burglary089_x264_fr47.jpg,1,1
Burglary089_x264_fr48.jpg,1,1
Burglary089_x264_fr49.jpg,1,1
Burglary089_x264_fr5.jpg,1,1
Burglary089_x264_fr50.jpg,1,1
Burglary089_x264_fr51.jpg,1,1
Burglary089_x264_fr52.jpg,1,1
Burglary089_x264_fr53.jpg,1,1
Burglary089_x264_fr54.jpg,1,1
Burglary089_x264_fr55.jpg,1,1
Burglary089_x264_fr56.jpg,1,1
Burglary089_x264_fr57.jpg,1,1
Burglary089_x264_fr58.jpg,1,1
Burglary089_x264_fr59.jpg,1,1
Burglary089_x264_fr6.jpg,1,1
Burglary089_x264_fr60.jpg,1,1
Burglary089_x264_fr7.jpg,1,1
Burglary089_x264_fr8.jpg,1,1
Burglary089_x264_fr9.jpg,1,1
Burglary090_x264_fr1.jpg,1,1
Burglary090_x264_fr2.jpg,1,1
Burglary090_x264_fr3.jpg,1,1
